table_name,column_name,data_type,ordinal_position,character_maximum_length
across_locks,created,bigint,3,NULL
across_locks,updated,bigint,4,NULL
across_locks,holds,integer,5,NULL
across_locks,owner_id,character varying,2,150
across_locks,lock_id,character varying,1,150
acrossmodules,version,integer,5,NULL
acrossmodules,created,timestamp without time zone,7,NULL
acrossmodules,module_id,character varying,1,120
acrossmodules,installer_id,character varying,2,120
acrossmodules,module,character varying,3,255
acrossmodules,installer,character varying,4,255
acrossmodules,description,character varying,6,500
base_application_codeset,date_created,timestamp without time zone,7,NULL
base_application_codeset,date_modified,timestamp without time zone,9,NULL
base_application_codeset,archived,integer,11,NULL
base_application_codeset,id,bigint,1,NULL
base_application_codeset,codeset_group,character varying,2,NULL
base_application_codeset,display,character varying,3,NULL
base_application_codeset,language,character varying,4,NULL
base_application_codeset,version,character varying,5,NULL
base_application_codeset,code,character varying,6,NULL
base_application_codeset,created_by,character varying,8,NULL
base_application_codeset,modified_by,character varying,10,NULL
base_application_codeset_standard_codeset,application_codeset_id,bigint,2,NULL
base_application_codeset_standard_codeset,id,bigint,1,NULL
base_application_codeset_standard_codeset,standard_codeset_id,bigint,3,NULL
base_application_user,archived,integer,4,NULL
base_application_user,date_reset,date,6,NULL
base_application_user,current_organisation_unit_id,bigint,12,NULL
base_application_user,date_created,timestamp without time zone,17,NULL
base_application_user,date_modified,timestamp without time zone,19,NULL
base_application_user,details,jsonb,20,NULL
base_application_user,id,bigint,1,NULL
base_application_user,user_name,character varying,2,NULL
base_application_user,password,character varying,3,NULL
base_application_user,activation_key,character varying,5,NULL
base_application_user,reset_key,character varying,7,NULL
base_application_user,email,character varying,8,255
base_application_user,gender,character varying,9,255
base_application_user,designation,character varying,10,NULL
base_application_user,phone_number,character varying,11,255
base_application_user,first_name,character varying,13,255
base_application_user,last_name,character varying,14,255
base_application_user,target_group,character varying,15,255
base_application_user,created_by,character varying,16,NULL
base_application_user,modified_by,character varying,18,NULL
base_application_user_organisation_unit,application_user_id,bigint,2,NULL
base_application_user_organisation_unit,organisation_unit_id,bigint,3,NULL
