"table_name","column_name","data_type","ordinal_position","character_maximum_length"
"household","hhwithdrawnfromprogram","character varying",10,255
"household","isarchived","boolean",13,NULL
"household","uuid","character varying",9,NULL
"household","longitude","character varying",8,255
"household","latitude","character varying",7,255
"household","cbo_project_id","character varying",14,NULL
"household","householduniqueid","character varying",6,255
"household","personuuid","character varying",12,255
"household","dateofenrolment","date",5,NULL
"household","ods_load_time","timestamp without time zone",15,NULL
"household","dateofwithdrawalfromprogram","text",11,NULL
"household","cbo","character varying",4,255
"household","ward","character varying",3,255
"household","lga","character varying",2,255
"household","state","character varying",1,255
"linelist","dateofstartofcurrentartregimen","text",16,NULL
"linelist","doneviralloadtest","text",17,NULL
"linelist","dateofviralload","text",18,NULL
"linelist","currentviralload","character varying",19,NULL
"linelist","currentartstatus","character varying",20,NULL
"linelist","dateofcurrentartstatus","text",21,NULL
"linelist","iscaregivervirrallysuppressed","text",22,NULL
"linelist","hasclientswitchedregimen","text",23,NULL
"linelist","enhancedadherencecounselling_eac_commenced","text",24,NULL
"linelist","weight","character varying",25,NULL
"linelist","height","character varying",26,NULL
"linelist","bmi","character varying",27,NULL
"linelist","personuuid","character varying",29,NULL
"linelist","cbo_project_id","character varying",30,NULL
"linelist","encounter_date","date",2,NULL
"linelist","isarchived","boolean",28,NULL
"linelist","ods_load_time","timestamp without time zone",31,NULL
"linelist","riskassesed","text",4,NULL
"linelist","atrisk","text",5,NULL
"linelist","refferedfortesting","text",6,NULL
"linelist","enrolledonart","text",7,NULL
"linelist","artstartdate","text",8,NULL
"linelist","currentartfacility","character varying",9,NULL
"linelist","numberofdayforarvrefil","character varying",10,NULL
"linelist","lastdrugpickupdate","text",11,NULL
"linelist","regimenatartstart","character varying",12,NULL
"linelist","regimenlineatartstart","character varying",13,NULL
"linelist","currentregimen","character varying",14,NULL
"linelist","currentregimenline","character varying",15,NULL
"linelist","uuid","character varying",1,NULL
"linelist","service_provider","character varying",3,NULL
"person","birthcertificatestatus","character varying",10,255
"person","schoolenrolmentstatus","character varying",11,255
"person","schoolname","character varying",12,255
"person","childclass","character varying",13,255
"person","programstatus","character varying",14,255
"person","casemanager","character varying",15,255
"person","cbo_project_id","character varying",17,NULL
"person","householduniqueid","character varying",6,255
"person","caregiveruniqueid","character varying",5,255
"person","gender","character varying",2,255
"person","personuuid","character varying",1,255
"person","enrolmentdate","date",8,NULL
"person","ods_load_time","timestamp without time zone",18,NULL
"person","isarchived","boolean",16,NULL
"person","iscaregiver","boolean",4,NULL
"person","dateofbirth","date",3,NULL
"person","enrolmentstream","character varying",7,255
"person","hivstatus","character varying",9,255
"status","encounterdate","text",13,NULL
"status","cbo_project_id","character varying",15,NULL
"status","schoolname","character varying",6,255
"status","ods_load_time","timestamp without time zone",16,NULL
"status","isarchived","boolean",14,NULL
"status","hivstatus","character varying",1,255
"status","birthcertificatestatus","character varying",2,255
"status","schoolenrolmentstatus","character varying",3,255
"status","regularlyattendingschool_voctraining","text",4,NULL
"status","vocationaltrainingenrolment","text",5,NULL
"status","updatedate","date",9,NULL
"status","childclass","character varying",7,255
"status","allenrolmentstream","character varying",8,255
"status","currenthivdate","text",10,NULL
"status","programstatus","character varying",11,255
"status","personuuid","character varying",12,255
