"table_name","column_name","data_type","ordinal_position","character_maximum_length"
"base_application_codeset","language","character varying",4,NULL
"base_application_codeset","version","character varying",5,NULL
"base_application_codeset","ods_datim_id","character varying",13,255
"base_application_codeset","code","character varying",6,NULL
"base_application_codeset","date_created","timestamp without time zone",7,NULL
"base_application_codeset","created_by","character varying",8,NULL
"base_application_codeset","date_modified","timestamp without time zone",9,NULL
"base_application_codeset","modified_by","character varying",10,NULL
"base_application_codeset","archived","integer",11,NULL
"base_application_codeset","ods_load_time","timestamp without time zone",12,NULL
"base_application_codeset","id","bigint",1,NULL
"base_application_codeset","codeset_group","character varying",2,NULL
"base_application_codeset","display","character varying",3,NULL
"base_organisation_unit","modified_by","character varying",11,NULL
"base_organisation_unit","name","character varying",2,NULL
"base_organisation_unit","description","character varying",3,NULL
"base_organisation_unit","organisation_unit_level_id","bigint",4,NULL
"base_organisation_unit","parent_organisation_unit_id","bigint",5,NULL
"base_organisation_unit","archived","integer",6,NULL
"base_organisation_unit","details","jsonb",7,NULL
"base_organisation_unit","date_created","timestamp without time zone",8,NULL
"base_organisation_unit","created_by","character varying",9,NULL
"base_organisation_unit","date_modified","timestamp without time zone",10,NULL
"base_organisation_unit","uuid","character varying",12,NULL
"base_organisation_unit","ods_load_time","timestamp without time zone",13,NULL
"base_organisation_unit","ods_datim_id","character varying",14,255
"base_organisation_unit","id","bigint",1,NULL
"base_organisation_unit_hierarchy","ods_datim_id","character varying",6,255
"base_organisation_unit_hierarchy","ods_load_time","timestamp without time zone",5,NULL
"base_organisation_unit_hierarchy","organisation_unit_level_id","bigint",4,NULL
"base_organisation_unit_hierarchy","parent_organisation_unit_id","bigint",3,NULL
"base_organisation_unit_hierarchy","organisation_unit_id","bigint",2,NULL
"base_organisation_unit_hierarchy","id","bigint",1,NULL
"base_organisation_unit_identifier","id","bigint",1,NULL
"base_organisation_unit_identifier","ods_datim_id","character varying",6,255
"base_organisation_unit_identifier","ods_load_time","timestamp without time zone",5,NULL
"base_organisation_unit_identifier","name","character varying",4,NULL
