<connection object at 0x7f60291a3240; dsn: 'user=lamisplus_etl password=xxx dbname=lamisplus_ods_dwh host=localhost port=5432', closed: 0>
[2025-05-18 04:45:43,789: INFO: familypartnerindex: Table partner_index truncated successfully.]
[2025-05-18 04:45:53,459: INFO: familypartnerindex: Table familypartnerindex_monitoring truncated successfully.]
[2025-05-18 04:46:02,713: INFO: familypartnerindex: Table familypartnerindex_joined truncated successfully.]
[2025-05-18 04:46:03,086: INFO: familypartnerindex: Table family_index truncated successfully.]
[2025-05-18 04:46:03,687: INFO: familypartnerindex: Successfully executed proc_partner_index for wC0drfSNmV4]
[2025-05-18 04:46:03,687: INFO: familypartnerindex: Successfully executed proc_partner_index for sP8QEwb0SXo]
[2025-05-18 04:46:03,698: INFO: familypartnerindex: Successfully executed proc_partner_index for zZXDNWVezMV]
[2025-05-18 04:46:03,698: INFO: familypartnerindex: Successfully executed proc_partner_index for dlzwTad81iz]
[2025-05-18 04:46:03,714: INFO: familypartnerindex: Successfully executed proc_partner_index for IvofjQjgSeE]
[2025-05-18 04:46:03,716: INFO: familypartnerindex: Successfully executed proc_partner_index for M0b885TVP1Q]
[2025-05-18 04:46:03,727: INFO: familypartnerindex: Successfully executed proc_partner_index for RWQP4pGxyYS]
[2025-05-18 04:46:03,742: INFO: familypartnerindex: Successfully executed proc_partner_index for C8zbhPQNbPk]
[2025-05-18 04:46:03,754: INFO: familypartnerindex: Successfully executed proc_partner_index for RFVNndb3OKN]
[2025-05-18 04:46:03,762: INFO: familypartnerindex: Successfully executed proc_partner_index for KTsdxBrj1K8]
[2025-05-18 04:46:03,767: INFO: familypartnerindex: Successfully executed proc_family_index for wC0drfSNmV4]
[2025-05-18 04:46:03,777: INFO: familypartnerindex: Successfully executed proc_partner_index for DVlcYRf680L]
[2025-05-18 04:46:03,790: INFO: familypartnerindex: Successfully executed proc_family_index for RFVNndb3OKN]
[2025-05-18 04:46:03,799: INFO: familypartnerindex: Successfully executed proc_family_index for JqquBCRr5Ie]
[2025-05-18 04:46:03,809: INFO: familypartnerindex: Successfully executed proc_family_index for DVlcYRf680L]
[2025-05-18 04:46:03,818: INFO: familypartnerindex: Successfully executed proc_partner_index for w4gxim2NiVj]
[2025-05-18 04:46:03,821: INFO: familypartnerindex: Successfully executed proc_partner_index for iWJPpf18IyU]
[2025-05-18 04:46:03,826: INFO: familypartnerindex: Successfully executed proc_family_index for dlzwTad81iz]
[2025-05-18 04:46:03,826: INFO: familypartnerindex: Successfully executed proc_partner_index for apo2hT9i94X]
[2025-05-18 04:46:03,826: INFO: familypartnerindex: Successfully executed proc_partner_index for wRBooaCoKz6]
[2025-05-18 04:46:03,826: INFO: familypartnerindex: Successfully executed proc_family_index for IvofjQjgSeE]
[2025-05-18 04:46:03,832: INFO: familypartnerindex: Successfully executed proc_partner_index for JqquBCRr5Ie]
