<connection object at 0x7f31a1877240; dsn: 'user=lamisplus_etl password=xxx dbname=lamisplus_ods_dwh host=localhost port=5432', closed: 0>
[2025-05-18 05:00:12,918: INFO: radet: Period 2025W20 updated successfully.]
[2025-05-18 05:02:07,691: INFO: radet: Table cte_patient_lga truncated successfully.]
[2025-05-18 05:02:09,832: INFO: radet: Table cte_current_tb_result truncated successfully.]
[2025-05-18 05:02:10,052: INFO: radet: Table cte_carecardcd4 truncated successfully.]
[2025-05-18 05:02:10,251: INFO: radet: Table cte_eac truncated successfully.]
[2025-05-18 05:02:11,305: INFO: radet: Table cte_dsd1 truncated successfully.]
[2025-05-18 05:02:11,366: INFO: radet: Table cte_dsd2 truncated successfully.]
[2025-05-18 05:02:11,626: INFO: radet: Table cte_cervical_cancer truncated successfully.]
[2025-05-18 05:02:11,695: INFO: radet: Table cte_current_status truncated successfully.]
[2025-05-18 05:02:11,706: INFO: radet: Table cte_ipt truncated successfully.]
[2025-05-18 05:02:11,851: INFO: radet: Table cte_ipt_s truncated successfully.]
[2025-05-18 05:02:12,139: INFO: radet: Table cte_labcd4 truncated successfully.]
[2025-05-18 05:02:12,648: INFO: radet: Table cte_current_regimen truncated successfully.]
[2025-05-18 05:02:12,753: INFO: radet: Table cte_case_manager truncated successfully.]
[2025-05-18 05:02:12,809: INFO: radet: Table cte_crytococal_antigen truncated successfully.]
[2025-05-18 05:02:12,839: INFO: radet: Table cte_tbstatus truncated successfully.]
[2025-05-18 05:02:12,925: INFO: radet: Table cte_current_vl_result truncated successfully.]
[2025-05-18 05:02:12,950: INFO: radet: Table cte_iptnew truncated successfully.]
[2025-05-18 05:02:13,075: INFO: radet: Table cte_biometric truncated successfully.]
[2025-05-18 05:02:13,100: INFO: radet: Table cte_client_verification truncated successfully.]
[2025-05-18 05:02:13,102: INFO: radet: Table cte_ovc truncated successfully.]
[2025-05-18 05:02:13,104: INFO: radet: Table cte_current_clinical truncated successfully.]
[2025-05-18 05:02:13,165: INFO: radet: Table cte_pharmacy_details_regimen truncated successfully.]
[2025-05-18 05:02:13,168: INFO: radet: Table cte_naive_vl_data truncated successfully.]
[2025-05-18 05:02:22,997: INFO: radet: Table cte_bio_data truncated successfully.]
[2025-05-18 05:02:35,575: INFO: radet: Table expanded_radet_monitoring truncated successfully.]
[2025-05-18 05:02:47,938: INFO: radet: Table cte_tb_sample_collection truncated successfully.]
[2025-05-18 05:02:47,984: INFO: radet: Table cte_tblam truncated successfully.]
[2025-05-18 05:02:48,207: INFO: radet: Table cte_sample_collection_date truncated successfully.]
[2025-05-18 05:02:48,256: INFO: radet: Table cte_tbtreatment truncated successfully.]
