<connection object at 0x7f0e893af240; dsn: 'user=lamisplus_etl password=xxx dbname=lamisplus_ods_dwh host=localhost port=5432', closed: 0>
[2025-05-18 04:50:38,567: INFO: tb: Table tb_treatement_completion truncated successfully.]
[2025-05-18 04:50:39,242: INFO: tb: Table tb_treatement_start truncated successfully.]
[2025-05-18 04:50:39,529: INFO: tb: Table current_tb_result truncated successfully.]
[2025-05-18 04:50:39,834: INFO: tb: Table tb_monitoring truncated successfully.]
[2025-05-18 04:50:39,869: INFO: tb: Table weight truncated successfully.]
[2025-05-18 04:50:39,870: INFO: tb: Table tb_sample_collection truncated successfully.]
[2025-05-18 04:50:39,982: INFO: tb: Table ipt_ca truncated successfully.]
[2025-05-18 04:50:40,108: INFO: tb: Table tb_status truncated successfully.]
[2025-05-18 04:50:40,122: INFO: tb: Table iptnew truncated successfully.]
[2025-05-18 04:50:40,122: INFO: tb: Table ipt_start truncated successfully.]
[2025-05-18 04:50:40,218: INFO: tb: Table tbtreatmentnew truncated successfully.]
[2025-05-18 04:50:40,454: INFO: tb: Table bio_data truncated successfully.]
[2025-05-18 04:50:47,818: INFO: tb: Table tb_joined truncated successfully.]
[2025-05-18 04:50:48,520: INFO: tb: Successfully executed proc_current_tb_result for wC0drfSNmV4]
[2025-05-18 04:50:48,557: INFO: tb: Successfully executed proc_tb_sample_collection for wC0drfSNmV4]
[2025-05-18 04:50:48,866: INFO: tb: Successfully executed proc_ipt_start for wC0drfSNmV4]
[2025-05-18 04:50:48,926: INFO: tb: Successfully executed proc_tb_sample_collection for dlzwTad81iz]
[2025-05-18 04:50:49,030: INFO: tb: Successfully executed proc_current_tb_result for wSzsuzrAmU1]
[2025-05-18 04:50:49,047: INFO: tb: Successfully executed proc_tb_treatement_completion for wC0drfSNmV4]
[2025-05-18 04:50:49,062: INFO: tb: Successfully executed proc_weight for dlzwTad81iz]
[2025-05-18 04:50:49,260: INFO: tb: Successfully executed proc_current_tb_result for dlzwTad81iz]
[2025-05-18 04:50:49,261: INFO: tb: Successfully executed proc_ipt_start for dlzwTad81iz]
[2025-05-18 04:50:49,264: INFO: tb: Successfully executed proc_weight for wC0drfSNmV4]
[2025-05-18 04:50:49,272: INFO: tb: Successfully executed proc_tb_sample_collection for wSzsuzrAmU1]
[2025-05-18 04:50:49,286: INFO: tb: Successfully executed proc_iptnew for wC0drfSNmV4]
[2025-05-18 04:50:49,296: INFO: tb: Successfully executed proc_ipt_ca for wC0drfSNmV4]
[2025-05-18 04:50:49,366: INFO: tb: Successfully executed proc_ipt_ca for dlzwTad81iz]
[2025-05-18 04:50:49,370: INFO: tb: Successfully executed proc_iptnew for wSzsuzrAmU1]
[2025-05-18 04:50:49,398: INFO: tb: Successfully executed proc_current_tb_result for wRBooaCoKz6]
[2025-05-18 04:50:49,503: INFO: tb: Successfully executed proc_tb_treatement_completion for dlzwTad81iz]
[2025-05-18 04:50:49,504: INFO: tb: Successfully executed proc_current_tb_result for RWQP4pGxyYS]
[2025-05-18 04:50:49,538: INFO: tb: Successfully executed proc_current_tb_result for DVlcYRf680L]
[2025-05-18 04:50:49,567: INFO: tb: Successfully executed proc_weight for wRBooaCoKz6]
[2025-05-18 04:50:49,582: INFO: tb: Successfully executed proc_tb_treatement_start for dlzwTad81iz]
[2025-05-18 04:50:49,583: INFO: tb: Successfully executed proc_tb_status for wC0drfSNmV4]
[2025-05-18 04:50:49,583: INFO: tb: Successfully executed proc_current_tb_result for apo2hT9i94X]
[2025-05-18 04:50:49,589: INFO: tb: Successfully executed proc_tb_status for dlzwTad81iz]
[2025-05-18 04:50:49,593: INFO: tb: Successfully executed proc_iptnew for dlzwTad81iz]
[2025-05-18 04:50:49,605: INFO: tb: Successfully executed proc_ipt_start for wRBooaCoKz6]
[2025-05-18 04:50:49,611: INFO: tb: Successfully executed proc_tb_sample_collection for M0b885TVP1Q]
[2025-05-18 04:50:49,626: INFO: tb: Successfully executed proc_tb_treatement_completion for wRBooaCoKz6]
[2025-05-18 04:50:49,623: INFO: tb: Successfully executed proc_tb_treatement_start for wC0drfSNmV4]
[2025-05-18 04:50:49,676: INFO: tb: Successfully executed proc_tb_sample_collection for DVlcYRf680L]
[2025-05-18 04:50:49,686: INFO: tb: Successfully executed proc_iptnew for wRBooaCoKz6]
[2025-05-18 04:50:49,686: INFO: tb: Successfully executed proc_tb_sample_collection for wRBooaCoKz6]
[2025-05-18 04:50:49,687: INFO: tb: Successfully executed proc_current_tb_result for w4gxim2NiVj]
[2025-05-18 04:50:49,883: INFO: tb: Successfully executed proc_ipt_ca for wRBooaCoKz6]
[2025-05-18 04:50:49,883: INFO: tb: Successfully executed proc_tb_sample_collection for w4gxim2NiVj]
[2025-05-18 04:50:49,885: INFO: tb: Successfully executed proc_tb_treatement_start for wRBooaCoKz6]
