"id","facility_id","datim_id","facility_name","facility_state","facility_lga","ip_code","ip_name","patient_count"
1,1874,"qY7ZkVcos1O","Song Cottage Hospital","Adamawa","Song",20250000,"ACE-1",4207
2,1881,"GbtTSJLBKbI","St. Francis Hospital","Adamawa","Yola North",20250000,"ACE-1",5111
3,1391,"W387n0fbylW","Adamawa Hospital Yola","Adamawa","Yola South",20250000,"ACE-1",1608
4,1459,"Pjak5oARJBf","Borrong General Hospital","Adamawa","Demsa",20250000,"ACE-1",410
5,1460,"RoxOslFYbmA","Boshong Health Clinic","Adamawa","Yola North",20250000,"ACE-1",1502
6,1471,"apo2hT9i94X","Girei B Clinic","Adamawa","Girei",20250000,"ACE-1",805
7,1538,"KrHj7Ycvctj","Fufore Cottage Hospital","Adamawa","Fufore",20250000,"ACE-1",3409
8,1545,"WjDvZSLT4i5","Ganye General Hospital","Adamawa","Ganye",20250000,"ACE-1",7098
9,1546,"R2bNqBqJUIw","Garkida General Hospital","Adamawa","Gombi",20250000,"ACE-1",2962
10,1552,"J2AZkcaFst0","G.D.Chanrai Memorial Hospital","Adamawa","Yola South",20250000,"ACE-1",329
11,1576,"wAZ9LXoASUu","Guyuk General Hospital","Adamawa","Guyuk",20250000,"ACE-1",1540
12,1587,"cVnKorgLC9B","Hong Cottage Hospital","Adamawa","Hong",20250000,"ACE-1",2361
13,1711,"zxSXLppge0P","Maiha Cottage Hospital","Adamawa","Maiha",20250000,"ACE-1",1088
14,1712,"hozfIkuo4eE","Major Aminu Urban Health Centre","Adamawa","Yola North",20250000,"ACE-1",682
15,1722,"S5HvxHdK2Vt","Mayo Belwa Cottage Hospital","Adamawa","Mayo-Belwa",20250000,"ACE-1",3513
16,1739,"Nx613mKHzsk","Michika General Hospital","Adamawa","Michika",20250000,"ACE-1",4153
17,1750,"XyFDmlevgCu","Mubi General Hospital","Adamawa","Mubi South",20250000,"ACE-1",11207
18,1771,"KXoSesiSLeE","Numan General Hospital","Adamawa","Numan",20250000,"ACE-1",6794
19,1825,"RRPYgMWYw4h","Peace Hospital Jimeta","Adamawa","Yola North",20250000,"ACE-1",800
20,1901,"SSB1jXm3jdi","Toungo Cottage Hospital","Adamawa","Toungo",20250000,"ACE-1",1367
21,1903,"l01zG9ePfqt","Jada Township Clinic","Adamawa","Jada",20250000,"ACE-1",1032
22,1904,"DqWvsU2R8rw","Mayo-Belwa Township Clinic","Adamawa","Mayo-Belwa",20250000,"ACE-1",142
23,1949,"gfEDfny3Hp0","Wauro-Jabbe Health Centre","Adamawa","Yola South",20250000,"ACE-1",117
24,1962,"RxLmSTf6Kpl","Yola Federal Medical Centre","Adamawa","Yola South",20250000,"ACE-1",13227
25,1963,"E1PW0PYkvDx","Yola KP OSS","Adamawa","Yola North",20320000,"SFH-KP-CARE 2",16512
26,1964,"DPA6BxE9pzQ","Yola Specialist Hospital","Adamawa","Yola North",20250000,"ACE-1",15271
27,1966,"x7TBWFDy1GZ","Cottage Hospital Gulak","Adamawa","Madagali",20250000,"ACE-1",257
28,1968,"iPViA45Cl3G","Mubi KP OSS","Adamawa","Mubi North",20320000,"SFH-KP-CARE 2",8484
29,1946,"nnjEYKiOt3O","Uyo St Athanasius Medical Centre","Akwa Ibom","Uyo",20290000,"ACE-5",548
30,1386,"dmrFYPiuKAA","Base Abat Primary Health Centre","Akwa Ibom","Onna",20290000,"ACE-5",373
31,1388,"Ptnp8JFEIm0","Abiakpo Ikot Essien Health Centre","Akwa Ibom","Ikot Ekpene",20290000,"ACE-5",81
32,1818,"QWkhj6LkQMO","Oruko Primary Health Centre","Akwa Ibom","Urue-Offong/Oruko",20290000,"ACE-5",168
33,1624,"uz0kFwLBXqH","Ikot Ebak Poly Clinic","Akwa Ibom","Eket",20290000,"ACE-5",18775
34,1393,"gsw0bzX58MQ","Adiasim Health Centre","Akwa Ibom","Essien Udim",20290000,"ACE-5",139
35,1394,"ulunZz6L3UM","Afaha Effiong OP Base Model Primary Health Centre","Akwa Ibom","Nsit Ibom",20290000,"ACE-5",16162
36,1395,"Xa1RCh7Z2aC","Afaha Ikot Ebak Primary Health Centre","Akwa Ibom","Essien Udim",20290000,"ACE-5",339
37,1396,"zbFMCQu3vef","Afaha Obong Primary Health Centre","Akwa Ibom","Abak",20290000,"ACE-5",85
38,1408,"lbahxODJXCM","Akai Ubium Cottage Hospital","Akwa Ibom","Nsit Ubium",20290000,"ACE-5",782
39,1415,"mxeORAzNzal","Akpautong Mt. Camel Hospital","Akwa Ibom","Ibesikpo Asutan",20290000,"ACE-5",953
40,1446,"C0810vNbF7i","Base Ikot Abasi Primary Health Centre","Akwa Ibom","Ikot Abasi",20290000,"ACE-5",22035
41,1447,"O7ZT10hlis4","Base Urue Offong Primary Health Centre","Akwa Ibom","Urue-Offong/Oruko",20290000,"ACE-5",195
42,1474,"mLQcXu4kwJW","Confidence Maternity/Health care Services","Akwa Ibom","Ikot Ekpene",20290000,"ACE-5",95
43,1486,"xFHZJRTTmlh","Demak Clinic","Akwa Ibom","Ikot Ekpene",20290000,"ACE-5",295
44,1494,"KPbHmQq5497","Ebom Primary Health Center","Akwa Ibom","Abak",20290000,"ACE-5",498
45,1495,"wByDgXTFiHI","Ebughu Primary Health Center","Akwa Ibom","Mbo",20290000,"ACE-5",467
46,1496,"HbrrJf2LRp5","Ediene I Health Centre","Akwa Ibom","Ikono",20290000,"ACE-5",157
47,1497,"jfE3XKBsFEv","Effoi Primary Health Centre","Akwa Ibom","Eket",20290000,"ACE-5",570
