table_schema,table_name,total_size
maternal_cohort,pmtct_maternal_cohort,0 bytes
expanded_radet,cte_previous_previous,126 MB
expanded_radet,cte_current_vl_result,116 MB
expanded_radet,cte_pharmacy_details_regimen,206 MB
pmtct_hts,hts_client,272 kB
pmtct_hts,pmtct_hts,0 bytes
public,period,48 kB
pmtct_hts,result,2520 kB
expanded_radet,cte_naive_vl_data,25 MB
expanded_radet,cte_current_clinical,162 MB
pmtct_hts,pmtct_hts_joined,48 kB
public,custom_time_partitions,24 kB
public,table_privs,0 bytes
public,part_config,24 kB
public,part_config_sub,16 kB
expanded_radet,cte_patient_lga,2456 kB
maternal_cohort,hiv_observation,1059 MB
public,ods_laboratory_sample_7,48 MB
expanded_radet,obt_radet,1301 MB
maternal_cohort,hiv_art_clinical,113 MB
expanded_radet,expanded_radet_weekly_2024w23,720 MB
expanded_hts_prep,expanded_prep_weekly,0 bytes
public,ods_covid_encounter,8192 bytes
expanded_radet,cte_client_verification,72 MB
expanded_radet,cte_cervical_cancer,26 MB
expanded_radet,cte_current_tb_result,3192 kB
public,central_data_element_hts,56 kB
public,central_category_option_combo_hts,264 kB
expanded_hts_prep,central_category_option_combo_hts_weekly,264 kB
expanded_hts_prep,central_data_element_hts_weekly,56 kB
expanded_radet,sub_cte_ipt_s,69 MB
expanded_radet,cte_sub2_naive_vl_data,78 MB
expanded_radet,cte_sample_collection_date,73 MB
public,sub_cte_tbstatus_tbscreening_hac,163 MB
public,ods_laboratory_test,0 bytes
expanded_radet,cte_tb_sample_collection,3232 kB
public,ods_laboratory_test_2,259 MB
expanded_radet,sub_cte_ipt_c,100 MB
expanded_radet,expanded_radet_weekly_2024w25,711 MB
public,unique_patient_uuid,121 MB
public,sub_cte_ipt_c_cs,4776 kB
public,obt_radet,1248 MB
expanded_radet,cte_labcd4,38 MB
expanded_radet,cte_sub_triage_current_clinical,193 MB
public,modality_selection_method,48 kB
public,ods_laboratory_test_3,5960 kB
public,ods_laboratory_test_4,166 MB
public,ods_base_application_user_role,0 bytes
public,ods_patient_check_post_service,8192 bytes
public,ods_patient_visit,10 GB
expanded_radet,cte_tblam,768 kB
expanded_radet,cte_tbtreatment,144 kB
public,ods_sync_config_table,8192 bytes
pharmacy,cte_ods_hiv_regimen_type,872 kB
public,ods_laboratory_test_10,101 MB
public,ods_laboratory_test_12,43 MB
expanded_radet,cte_eac,2600 kB
expanded_radet,cte_tbstatus_tbscreening_cs,116 MB
public,ods_hiv_art_pharmacy_10,709 MB
public,sub_cte_ipt_c,26 MB
pharmacy,cte_ods_hiv_regimen,10008 kB
public,ods_laboratory_test_13,75 MB
public,ods_hiv_status_tracker_5,949 MB
public,latest_enrollment,125 MB
pharmacy,cte_ods_patient_person,572 MB
public,ods_laboratory_test_14,49 MB
public,ods_laboratory_test_15,38 MB
expanded_radet,cte_carecardcd4,22 MB
pharmacy,cte_ods_dsd_devolvement,69 MB
public,ods_hiv_enrollment_5,71 MB
public,ods_hiv_enrollment_6,74 MB
public,ods_laboratory_test_16,92 MB
public,hiv_art_pharmacy,158 MB
public,ods_laboratory_test_22,352 MB
public,ods_hiv_enrollment_16,73 MB
public,ods_hiv_enrollment_14,61 MB
public,ods_hiv_enrollment_17,95 MB
expanded_radet,cte_tbstatus_tbscreening_hac,164 MB
